"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0600000US2502360330","Scituate town, Plymouth County, Massachusetts","116750","15695"
"0600000US2502372985","Wareham town, Plymouth County, Massachusetts","63365","6295"
"0600000US2502340850","Middleborough town, Plymouth County, Massachusetts","83227","10175"
"0600000US2502308085","Bridgewater town, Plymouth County, Massachusetts","92289","6927"
"0600000US2502309000","Brockton city, Plymouth County, Massachusetts","55140","3021"
"0600000US2502331645","Hull town, Plymouth County, Massachusetts","85573","7603"
"0600000US2502354310","Plymouth town, Plymouth County, Massachusetts","87595","2758"
"0600000US2502311665","Carver town, Plymouth County, Massachusetts","66406","8123"
"0600000US2502328495","Hanson town, Plymouth County, Massachusetts","98537","9169"
"0600000US2502338540","Marion town, Plymouth County, Massachusetts","80188","5916"
"0600000US2502339450","Mattapoisett town, Plymouth County, Massachusetts","91573","24438"
"0600000US2502333220","Kingston town, Plymouth County, Massachusetts","106654","16270"
"0600000US2502352630","Pembroke town, Plymouth County, Massachusetts","103920","6141"
"0600000US2502318455","East Bridgewater town, Plymouth County, Massachusetts","86922","7851"
"0600000US2502333920","Lakeville town, Plymouth County, Massachusetts","106775","9171"
"0600000US2502357775","Rockland town, Plymouth County, Massachusetts","79807","6850"
"0600000US2500905595","Beverly city, Essex County, Massachusetts","79483","4264"
"0600000US2500921850","Essex town, Essex County, Massachusetts","113469","11215"
"0600000US2500932310","Ipswich town, Essex County, Massachusetts","90557","7259"
"0600000US2500945175","Newbury town, Essex County, Massachusetts","93000","13301"
"0600000US2500941095","Middleton town, Essex County, Massachusetts","102604","27018"
"0600000US2500927620","Groveland town, Essex County, Massachusetts","97109","25237"
"0600000US2500937995","Manchester-by-the-Sea town, Essex County, Massachusetts","124025","18804"
"0600000US2500943580","Nahant town, Essex County, Massachusetts","90741","14008"
"0600000US2500900000","County subdivisions not defined, Essex County, Massachusetts","-","**"
"0600000US2500977150","West Newbury town, Essex County, Massachusetts","138403","28870"
"0600000US2500929405","Haverhill city, Essex County, Massachusetts","67579","2706"
"0600000US2500957880","Rockport town, Essex County, Massachusetts","81681","9109"
"0600000US2500940430","Merrimac town, Essex County, Massachusetts","83508","16749"
"0600000US2500952490","Peabody city, Essex County, Massachusetts","68387","2785"
"0600000US2500959245","Salisbury town, Essex County, Massachusetts","78112","4524"
"0600000US2500934550","Lawrence city, Essex County, Massachusetts","41583","2378"
"0600000US2500937560","Lynnfield town, Essex County, Massachusetts","132632","14353"
"0600000US2500968645","Swampscott town, Essex County, Massachusetts","113422","8821"
"0600000US2500974595","Wenham town, Essex County, Massachusetts","109712","24147"
"0600000US2500901465","Andover town, Essex County, Massachusetts","148125","9205"
"0600000US2500907420","Boxford town, Essex County, Massachusetts","174340","25695"
"0600000US2500959105","Salem city, Essex County, Massachusetts","65565","3686"
"0600000US2500960015","Saugus town, Essex County, Massachusetts","80341","7236"
"0600000US2500938400","Marblehead town, Essex County, Massachusetts","115511","10062"
"0600000US2500916250","Danvers town, Essex County, Massachusetts","84842","6652"
"0600000US2500925625","Georgetown town, Essex County, Massachusetts","128885","15741"
"0600000US2500937490","Lynn city, Essex County, Massachusetts","54598","2784"
"0600000US2500970150","Topsfield town, Essex County, Massachusetts","136812","16970"
"0600000US2500945245","Newburyport city, Essex County, Massachusetts","103220","8830"
"0600000US2500926150","Gloucester city, Essex County, Massachusetts","65377","4497"
"0600000US2501129475","Hawley town, Franklin County, Massachusetts","59107","15966"
"0600000US2501161135","Shelburne town, Franklin County, Massachusetts","63594","12582"
"0600000US2501125730","Gill town, Franklin County, Massachusetts","67083","9959"
"0600000US2501135180","Leverett town, Franklin County, Massachusetts","91500","8386"
"0600000US2501129650","Heath town, Franklin County, Massachusetts","63393","11098"
"0600000US2501147835","Northfield town, Franklin County, Massachusetts","72083","15894"
"0600000US2501151265","Orange town, Franklin County, Massachusetts","46228","5024"
"0600000US2501179110","Whately town, Franklin County, Massachusetts","72542","13920"
"0600000US2501142285","Montague town, Franklin County, Massachusetts","53750","7473"
"0600000US2501102095","Ashfield town, Franklin County, Massachusetts","70956","6401"
"0600000US2501112505","Charlemont town, Franklin County, Massachusetts","57159","10527"
